bakim_carpani,t,foton_carpani,n2_carpani,h2o_cap,durum,buyume
2.0,0.1,0.631,0.10018000000000002,100.9,optimal,0.005226481316069984
2.0,0.12,0.6392,0.120176,120.88,optimal,0.005368586152322953
2.0,0.14,0.6474,0.14017200000000002,140.86,optimal,0.005510690988573029
2.0,0.16,0.6556,0.160168,160.84,optimal,0.005652795824822123
2.0,0.18,0.6638,0.180164,180.82,optimal,0.005794900661075099
2.0,0.2,0.6719999999999999,0.20016000000000003,200.8,optimal,0.005937005497325109
2.0,0.22,0.6801999999999999,0.22015600000000002,220.78,optimal,0.0060791103335760665
2.0,0.24,0.6884,0.240152,240.76,optimal,0.006221215169830083
2.0,0.26,0.6966,0.260148,260.74,optimal,0.006363320006080039
2.0,0.28,0.7048,0.280144,280.72,optimal,0.006505424842330076
2.0,0.3,0.713,0.30013999999999996,300.7,optimal,0.006647529678581202
2.0,0.32,0.7212,0.320136,320.68,optimal,0.006789634514833225
2.0,0.34,0.7294,0.340132,340.66,optimal,0.0069317393510851585
2.0,0.36,0.7376,0.36012799999999995,360.64,optimal,0.007073844187336171
2.0,0.38,0.7458,0.380124,380.62,optimal,0.007215949023587202
2.0,0.4,0.754,0.40012000000000003,400.6,optimal,0.007358053859839176
2.0,0.42,0.7622,0.420116,420.58,optimal,0.007500158696091105
2.0,0.44,0.7704,0.440112,440.56,optimal,0.007642263532341158
2.0,0.46,0.7786,0.460108,460.54,optimal,0.00778436836859122
2.0,0.48,0.7867999999999999,0.480104,480.52,optimal,0.007926473204843175
2.0,0.5,0.7949999999999999,0.5001,500.5,optimal,0.008068578041093337
2.0,0.52,0.8032,0.520096,520.48,optimal,0.008210682877344272
2.0,0.54,0.8114,0.540092,540.46,optimal,0.008352787713596217
2.0,0.56,0.8196,0.560088,560.44,optimal,0.008494892549849167
2.0,0.58,0.8278,0.5800839999999999,580.42,optimal,0.008636997386098338
2.0,0.6,0.836,0.60008,600.4,optimal,0.008779102222349297
2.0,0.62,0.8442000000000001,0.620076,620.38,optimal,0.008921207058602248
2.0,0.64,0.8524,0.640072,640.36,optimal,0.009063311894852388
2.0,0.66,0.8606,0.660068,660.34,optimal,0.009205416731104398
2.0,0.68,0.8688,0.680064,680.32,optimal,0.009347521567357268
2.0,0.7,0.877,0.7000599999999999,700.3,optimal,0.009489626403607393
2.0,0.72,0.8852,0.7200559999999999,720.28,optimal,0.009631731239858294
2.0,0.74,0.8934,0.7400519999999999,740.26,optimal,0.009773836076108383
2.0,0.76,0.9016,0.7600480000000001,760.24,optimal,0.009915940912362203
2.0,0.78,0.9097999999999999,0.7800440000000001,780.22,optimal,0.010058045748611341
2.0,0.8,0.918,0.8000400000000001,800.2,optimal,0.010200150584863423
2.0,0.82,0.9261999999999999,0.820036,820.18,optimal,0.01034225542111533
2.0,0.84,0.9344,0.840032,840.16,optimal,0.010484360257364468
2.0,0.86,0.9426,0.860028,860.14,optimal,0.01062646509361445
2.0,0.88,0.9508,0.880024,880.12,optimal,0.010768569929867444
2.0,0.9,0.9590000000000001,0.90002,900.1,optimal,0.01091067476611834
2.0,0.92,0.9672000000000001,0.9200160000000001,920.08,optimal,0.011052779602369391
2.0,0.94,0.9754,0.940012,940.06,optimal,0.011194884438624252
2.0,0.96,0.9836,0.960008,960.04,optimal,0.011336989274870504
2.0,0.98,0.9918,0.980004,980.02,optimal,0.011479094111126308
2.0,1.0,1.0,1.0,1000.0,optimal,0.011621198947374456
2.5,0.0,0.59,0.0002,1.0,optimal,0.0030887923518038165
2.5,0.02,0.5982,0.020196,20.98,optimal,0.003230897188055721
2.5,0.04,0.6063999999999999,0.040192,40.96,optimal,0.0033730020243057995
2.5,0.06,0.6145999999999999,0.060188,60.94,optimal,0.0035151068605568246
2.5,0.08,0.6228,0.080184,80.92,optimal,0.0036572116968078073
2.5,0.1,0.631,0.10018000000000002,100.9,optimal,0.0037993165330597457
2.5,0.12,0.6392,0.120176,120.88,optimal,0.0039414213693127744
2.5,0.14,0.6474,0.14017200000000002,140.86,optimal,0.004083526205562893
2.5,0.16,0.6556,0.160168,160.84,optimal,0.004225631041811973
2.5,0.18,0.6638,0.180164,180.82,optimal,0.004367735878064848
2.5,0.2,0.6719999999999999,0.20016000000000003,200.8,optimal,0.004509840714314954
2.5,0.22,0.6801999999999999,0.22015600000000002,220.78,optimal,0.004651945550565905
2.5,0.24,0.6884,0.240152,240.76,optimal,0.0047940503868199045
2.5,0.26,0.6966,0.260148,260.74,optimal,0.004936155223069891
2.5,0.28,0.7048,0.280144,280.72,optimal,0.005078260059319939
2.5,0.3,0.713,0.30013999999999996,300.7,optimal,0.005220364895571069
2.5,0.32,0.7212,0.320136,320.68,optimal,0.005362469731822939
2.5,0.34,0.7294,0.340132,340.66,optimal,0.005504574568074906
2.5,0.36,0.7376,0.36012799999999995,360.64,optimal,0.005646679404325918
2.5,0.38,0.7458,0.380124,380.62,optimal,0.005788784240576942
2.5,0.4,0.754,0.40012000000000003,400.6,optimal,0.005930889076829011
2.5,0.42,0.7622,0.420116,420.58,optimal,0.006072993913080984
2.5,0.44,0.7704,0.440112,440.56,optimal,0.00621509874933103
2.5,0.46,0.7786,0.460108,460.54,optimal,0.0063572035855810225
2.5,0.48,0.7867999999999999,0.480104,480.52,optimal,0.006499308421833011
2.5,0.5,0.7949999999999999,0.5001,500.5,optimal,0.006641413258083046
2.5,0.52,0.8032,0.520096,520.48,optimal,0.00678351809433412
2.5,0.54,0.8114,0.540092,540.46,optimal,0.006925622930586086
2.5,0.56,0.8196,0.560088,560.44,optimal,0.007067727766838996
2.5,0.58,0.8278,0.5800839999999999,580.42,optimal,0.007209832603088166
2.5,0.6,0.836,0.60008,600.4,optimal,0.007351937439339124
2.5,0.62,0.8442000000000001,0.620076,620.38,optimal,0.007494042275592117
2.5,0.64,0.8524,0.640072,640.36,optimal,0.0076361471118421105
2.5,0.66,0.8606,0.660068,660.34,optimal,0.00777825194809415
2.5,0.68,0.8688,0.680064,680.32,optimal,0.007920356784347096
2.5,0.7,0.877,0.7000599999999999,700.3,optimal,0.008062461620597159
2.5,0.72,0.8852,0.7200559999999999,720.28,optimal,0.008204566456848139
2.5,0.74,0.8934,0.7400519999999999,740.26,optimal,0.008346671293098204
2.5,0.76,0.9016,0.7600480000000001,760.24,optimal,0.008488776129349253
2.5,0.78,0.9097999999999999,0.7800440000000001,780.22,optimal,0.008630880965601086
2.5,0.8,0.918,0.8000400000000001,800.2,optimal,0.00877298580185328
2.5,0.82,0.9261999999999999,0.820036,820.18,optimal,0.008915090638105076
2.5,0.84,0.9344,0.840032,840.16,optimal,0.009057195474354244
2.5,0.86,0.9426,0.860028,860.14,optimal,0.009199300310604282
2.5,0.88,0.9508,0.880024,880.12,optimal,0.009341405146859204
2.5,0.9,0.9590000000000001,0.90002,900.1,optimal,0.009483509983108361
2.5,0.92,0.9672000000000001,0.9200160000000001,920.08,optimal,0.009625614819359123
2.5,0.94,0.9754,0.940012,940.06,optimal,0.009767719655614205
2.5,0.96,0.9836,0.960008,960.04,optimal,0.00990982449186027
2.5,0.98,0.9918,0.980004,980.02,optimal,0.010051929328116297
2.5,1.0,1.0,1.0,1000.0,optimal,0.010194034164364171
3.0,0.0,0.59,0.0002,1.0,optimal,0.001661627568793601
3.0,0.02,0.5982,0.020196,20.98,optimal,0.0018037324050446104
3.0,0.04,0.6063999999999999,0.040192,40.96,optimal,0.001945837241295651
3.0,0.06,0.6145999999999999,0.060188,60.94,optimal,0.0020879420775476196
3.0,0.08,0.6228,0.080184,80.92,optimal,0.0022300469137976576
3.0,0.1,0.631,0.10018000000000002,100.9,optimal,0.0023721517500505536
3.0,0.12,0.6392,0.120176,120.88,optimal,0.0025142565863026304
3.0,0.14,0.6474,0.14017200000000002,140.86,optimal,0.0026563614225526633
3.0,0.16,0.6556,0.160168,160.84,optimal,0.0027984662588036624
3.0,0.18,0.6638,0.180164,180.82,optimal,0.0029405710950537456
3.0,0.2,0.6719999999999999,0.20016000000000003,200.8,optimal,0.0030826759313047716
3.0,0.22,0.6801999999999999,0.22015600000000002,220.78,optimal,0.003224780767556796
3.0,0.24,0.6884,0.240152,240.76,optimal,0.0033668856038086073
3.0,0.26,0.6966,0.260148,260.74,optimal,0.0035089904400587833
3.0,0.28,0.7048,0.280144,280.72,optimal,0.0036510952763107916
3.0,0.3,0.713,0.30013999999999996,300.7,optimal,0.0037932001125617785
3.0,0.32,0.7212,0.320136,320.68,optimal,0.003935304948812786
3.0,0.34,0.7294,0.340132,340.66,optimal,0.00407740978506479
3.0,0.36,0.7376,0.36012799999999995,360.64,optimal,0.004219514621314768
3.0,0.38,0.7458,0.380124,380.62,optimal,0.004361619457566782
3.0,0.4,0.754,0.40012000000000003,400.6,optimal,0.004503724293818755
3.0,0.42,0.7622,0.420116,420.58,optimal,0.004645829130069871
3.0,0.44,0.7704,0.440112,440.56,optimal,0.0047879339663208335
3.0,0.46,0.7786,0.460108,460.54,optimal,0.004930038802570884
3.0,0.48,0.7867999999999999,0.480104,480.52,optimal,0.0050721436388228725
3.0,0.5,0.7949999999999999,0.5001,500.5,optimal,0.005214248475073864
3.0,0.52,0.8032,0.520096,520.48,optimal,0.005356353311323952
3.0,0.54,0.8114,0.540092,540.46,optimal,0.005498458147576878
3.0,0.56,0.8196,0.560088,560.44,optimal,0.00564056298382694
3.0,0.58,0.8278,0.5800839999999999,580.42,optimal,0.005782667820078903
3.0,0.6,0.836,0.60008,600.4,optimal,0.005924772656328979
3.0,0.62,0.8442000000000001,0.620076,620.38,optimal,0.006066877492582833
3.0,0.64,0.8524,0.640072,640.36,optimal,0.0062089823288319435
3.0,0.66,0.8606,0.660068,660.34,optimal,0.006351087165083956
3.0,0.68,0.8688,0.680064,680.32,optimal,0.006493192001335986
3.0,0.7,0.877,0.7000599999999999,700.3,optimal,0.0066352968375850765
3.0,0.72,0.8852,0.7200559999999999,720.28,optimal,0.00677740167383702
3.0,0.74,0.8934,0.7400519999999999,740.26,optimal,0.006919506510087995
3.0,0.76,0.9016,0.7600480000000001,760.24,optimal,0.007061611346338971
3.0,0.78,0.9097999999999999,0.7800440000000001,780.22,optimal,0.007203716182590977
3.0,0.8,0.918,0.8000400000000001,800.2,optimal,0.007345821018841069
3.0,0.82,0.9261999999999999,0.820036,820.18,optimal,0.0074879258550930574
3.0,0.84,0.9344,0.840032,840.16,optimal,0.0076300306913421705
3.0,0.86,0.9426,0.860028,860.14,optimal,0.007772135527594113
3.0,0.88,0.9508,0.880024,880.12,optimal,0.007914240363849034
3.0,0.9,0.9590000000000001,0.90002,900.1,optimal,0.008056345200098056
3.0,0.92,0.9672000000000001,0.9200160000000001,920.08,optimal,0.008198450036348824
3.0,0.94,0.9754,0.940012,940.06,optimal,0.00834055487260395
3.0,0.96,0.9836,0.960008,960.04,optimal,0.008482659708852194
3.0,0.98,0.9918,0.980004,980.02,optimal,0.00862476454510601
3.0,1.0,1.0,1.0,1000.0,optimal,0.008766869381354148
3.5,0.0,0.59,0.0002,1.0,optimal,0.00023446278578348833
3.5,0.02,0.5982,0.020196,20.98,optimal,0.0003765676220344429
3.5,0.04,0.6063999999999999,0.040192,40.96,optimal,0.000518672458285444
3.5,0.06,0.6145999999999999,0.060188,60.94,optimal,0.0006607772945374814
3.5,0.08,0.6228,0.080184,80.92,optimal,0.0008028821307874846
3.5,0.1,0.631,0.10018000000000002,100.9,optimal,0.0009449869670404298
3.5,0.12,0.6392,0.120176,120.88,optimal,0.0010870918032924492
3.5,0.14,0.6474,0.14017200000000002,140.86,optimal,0.0012291966395425167
3.5,0.16,0.6556,0.160168,160.84,optimal,0.0013713014757935152
3.5,0.18,0.6638,0.180164,180.82,optimal,0.0015134063120435953
3.5,0.2,0.6719999999999999,0.20016000000000003,200.8,optimal,0.0016555111482945539
3.5,0.22,0.6801999999999999,0.22015600000000002,220.78,optimal,0.0017976159845465814
3.5,0.24,0.6884,0.240152,240.76,optimal,0.0019397208207985336
3.5,0.26,0.6966,0.260148,260.74,optimal,0.0020818256570485963
3.5,0.28,0.7048,0.280144,280.72,optimal,0.002223930493300578
3.5,0.3,0.713,0.30013999999999996,300.7,optimal,0.0023660353295515946
3.5,0.32,0.7212,0.320136,320.68,optimal,0.0025081401658026197
3.5,0.34,0.7294,0.340132,340.66,optimal,0.0026502450020546046
3.5,0.36,0.7376,0.36012799999999995,360.64,optimal,0.002792349838304599
3.5,0.38,0.7458,0.380124,380.62,optimal,0.0029344546745566605
3.5,0.4,0.754,0.40012000000000003,400.6,optimal,0.0030765595108085916
3.5,0.42,0.7622,0.420116,420.58,optimal,0.003218664347059577
3.5,0.44,0.7704,0.440112,440.56,optimal,0.0033607691833107186
3.5,0.46,0.7786,0.460108,460.54,optimal,0.003502874019560715
3.5,0.48,0.7867999999999999,0.480104,480.52,optimal,0.0036449788558127086
3.5,0.5,0.7949999999999999,0.5001,500.5,optimal,0.003787083692063695
3.5,0.52,0.8032,0.520096,520.48,optimal,0.003929188528313773
3.5,0.54,0.8114,0.540092,540.46,optimal,0.004071293364566713
3.5,0.56,0.8196,0.560088,560.44,optimal,0.004213398200816774
3.5,0.58,0.8278,0.5800839999999999,580.42,optimal,0.004355503037068731
3.5,0.6,0.836,0.60008,600.4,optimal,0.004497607873318799
3.5,0.62,0.8442000000000001,0.620076,620.38,optimal,0.004639712709572683
3.5,0.64,0.8524,0.640072,640.36,optimal,0.004781817545821828
